2021-01-24T20:22:14.6393480+02:00  [INF] Now listening on: "http://localhost:4000" (d826f4b8)
2021-01-24T20:22:14.6439430+02:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-01-24T20:22:14.6455044+02:00  [INF] Hosting environment: "Development" (c3307c92)
2021-01-24T20:22:14.6470728+02:00  [INF] Content root path: "C:\MyProjects\_github\onLib\onlinelib\Back\OnlineLib.WebService" (b5d60022)
2021-01-24T20:42:16.5535788+02:00 0HM60ILPJHGCN:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:42:19.8941127+02:00 0HM60ILPJHGCM:00000004 [INF] Return all article (5a02f3f2)
2021-01-24T20:47:22.7240563+02:00 0HM60ILPJHGCO:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:48:04.6473422+02:00 0HM60ILPJHGCO:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:50:52.8028756+02:00 0HM60ILPJHGCO:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:55:08.9600256+02:00 0HM60ILPJHGCO:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:55:10.4889991+02:00 0HM60ILPJHGCO:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:56:41.0940537+02:00 0HM60ILPJHGCO:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:57:08.6802557+02:00 0HM60ILPJHGCO:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:58:29.4338189+02:00 0HM60ILPJHGCO:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:58:41.5486456+02:00 0HM60ILPJHGCO:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-01-24T20:59:19.2765104+02:00 0HM60ILPJHGCO:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:02:08.8867042+02:00 0HM60ILPJHGCO:0000000C [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:02:35.4266652+02:00 0HM60ILPJHGCO:0000000D [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:02:40.6737030+02:00 0HM60ILPJHGCO:0000000E [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:03:23.2548547+02:00 0HM60ILPJHGCO:0000000F [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:04:08.0628053+02:00 0HM60ILPJHGCO:00000010 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:05:11.2694823+02:00 0HM60ILPJHGCO:00000011 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:05:37.1882435+02:00 0HM60ILPJHGCP:00000004 [INF] User logged in successfully. (bbc7b650)
2021-01-24T21:06:59.9725065+02:00 0HM60ILPJHGCO:00000012 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:07:00.2276434+02:00 0HM60ILPJHGCP:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:07:21.7683741+02:00 0HM60ILPJHGCQ:00000009 [INF] Category was created (270c2973)
2021-01-24T21:07:27.9110788+02:00 0HM60ILPJHGCR:00000006 [INF] Category was deleted (128c3a99)
2021-01-24T21:07:59.7037770+02:00 0HM60ILPJHGCO:00000013 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:07:59.7854377+02:00 0HM60ILPJHGCP:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:18:23.7338586+02:00 0HM60ILPJHGCT:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:18:23.7819105+02:00 0HM60ILPJHGCV:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:19:39.2497608+02:00 0HM60ILPJHGCT:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:19:39.4161435+02:00 0HM60ILPJHGCV:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:20:09.0333838+02:00 0HM60ILPJHGCT:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:20:09.0997404+02:00 0HM60ILPJHGCV:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:20:53.6808199+02:00 0HM60ILPJHGCT:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:20:53.7675593+02:00 0HM60ILPJHGCV:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:21:33.3323481+02:00 0HM60ILPJHGCV:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:21:33.6406212+02:00 0HM60ILPJHGCT:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:22:26.9204167+02:00 0HM60ILPJHGCU:00000012 [INF] Return all article (5a02f3f2)
2021-01-24T21:24:01.8937790+02:00 0HM60ILPJHGCT:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:24:02.0803888+02:00 0HM60ILPJHGCV:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:24:13.7308418+02:00 0HM60ILPJHGCV:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:25:13.4393770+02:00 0HM60ILPJHGCT:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:25:19.0589539+02:00 0HM60ILPJHGCV:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:25:19.6950852+02:00 0HM60ILPJHGCS:00000016 [INF] Return all article (5a02f3f2)
2021-01-24T21:25:21.5088832+02:00 0HM60ILPJHGCT:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:25:28.3684795+02:00 0HM60ILPJHGCS:0000001B [INF] Return all article (5a02f3f2)
2021-01-24T21:25:34.4135672+02:00 0HM60ILPJHGCS:00000020 [INF] get all users (533db5b1)
2021-01-24T21:25:36.5520032+02:00 0HM60ILPJHGCS:00000023 [INF] Return all article (5a02f3f2)
2021-01-24T21:26:00.7681010+02:00 0HM60ILPJHGCV:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:26:00.9350884+02:00 0HM60ILPJHGCT:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:26:01.0481417+02:00 0HM60ILPJHGCT:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:28:05.1306849+02:00 0HM60ILPJHGCT:0000000C [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:28:05.2144262+02:00 0HM60ILPJHGCT:0000000D [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:28:05.2381390+02:00 0HM60ILPJHGCV:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:28:08.0434272+02:00 0HM60ILPJHGCS:0000002C [INF] Return all article (5a02f3f2)
2021-01-24T21:29:26.9932902+02:00 0HM60ILPJHGCT:0000000E [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:29:27.0841197+02:00 0HM60ILPJHGCT:0000000F [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:29:27.1253107+02:00 0HM60ILPJHGCS:0000002F [INF] Return all article (5a02f3f2)
2021-01-24T21:29:27.1927159+02:00 0HM60ILPJHGCV:0000000C [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:29:57.8353308+02:00 0HM60ILPJHGCT:00000010 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:29:57.8987613+02:00 0HM60ILPJHGCT:00000011 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:29:57.9663287+02:00 0HM60ILPJHGCS:00000034 [INF] Return all article (5a02f3f2)
2021-01-24T21:29:58.1197154+02:00 0HM60ILPJHGCV:0000000D [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:32:28.3206652+02:00 0HM60ILPJHGCT:00000012 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:32:28.3694998+02:00 0HM60ILPJHGCT:00000013 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:32:28.4823144+02:00 0HM60ILPJHGCS:00000039 [INF] Return all article (5a02f3f2)
2021-01-24T21:32:28.5614824+02:00 0HM60ILPJHGCV:0000000E [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:46:28.0887885+02:00 0HM60ILPJHGD1:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:46:29.0128629+02:00 0HM60ILPJHGD1:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:46:29.0347926+02:00 0HM60ILPJHGD3:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:49:06.1693213+02:00 0HM60ILPJHGD1:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:49:06.1817203+02:00 0HM60ILPJHGD4:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:49:06.2672684+02:00 0HM60ILPJHGD3:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:49:06.3056152+02:00 0HM60ILPJHGD0:00000005 [INF] Return all article (5a02f3f2)
2021-01-24T21:49:08.4683585+02:00 0HM60ILPJHGD0:00000009 [INF] Return all comments (c23d2450)
2021-01-24T21:51:03.7240369+02:00 0HM60ILPJHGD1:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:03.7519795+02:00 0HM60ILPJHGD4:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:03.8657708+02:00 0HM60ILPJHGD3:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:03.9030972+02:00 0HM60ILPJHGD5:00000003 [INF] Return all comments (c23d2450)
2021-01-24T21:51:47.3766372+02:00 0HM60ILPJHGD4:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:47.4265934+02:00 0HM60ILPJHGD4:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:47.5057676+02:00 0HM60ILPJHGD3:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:51:47.5184043+02:00 0HM60ILPJHGD5:00000006 [INF] Return all comments (c23d2450)
2021-01-24T21:53:15.0258202+02:00 0HM60ILPJHGD4:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:53:15.1356366+02:00 0HM60ILPJHGD4:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:53:15.1646655+02:00 0HM60ILPJHGD3:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:53:15.2535748+02:00 0HM60ILPJHGD5:0000000B [INF] Return all comments (c23d2450)
2021-01-24T21:54:37.0525765+02:00 0HM60ILPJHGD4:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:54:37.1764190+02:00 0HM60ILPJHGD5:00000010 [INF] Return all comments (c23d2450)
2021-01-24T21:54:37.2052893+02:00 0HM60ILPJHGD3:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:55:00.3056956+02:00 0HM60ILPJHGD4:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:55:00.4337979+02:00 0HM60ILPJHGD5:00000013 [INF] Return all comments (c23d2450)
2021-01-24T21:55:00.4659340+02:00 0HM60ILPJHGD3:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:56:11.2315460+02:00 0HM60ILPJHGD4:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:56:11.3385454+02:00 0HM60ILPJHGD5:00000016 [INF] Return all comments (c23d2450)
2021-01-24T21:56:11.3618070+02:00 0HM60ILPJHGD3:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-01-24T21:56:47.9809261+02:00 0HM60ILPJHGD5:00000018 [INF] Return all article (5a02f3f2)
2021-01-24T21:56:51.9681058+02:00 0HM60ILPJHGD5:0000001A [INF] Return all comments (c23d2450)
2021-01-24T21:56:53.0446797+02:00 0HM60ILPJHGD5:0000001C [INF] Return all article (5a02f3f2)
2021-01-24T21:56:55.7595146+02:00 0HM60ILPJHGD5:0000001F [INF] Return all article (5a02f3f2)
2021-01-24T21:56:56.1077800+02:00 0HM60ILPJHGD5:00000020 [INF] Return all comments (c23d2450)
2021-01-24T21:56:58.2795791+02:00 0HM60ILPJHGD5:00000022 [INF] Return all article (5a02f3f2)
2021-01-24T21:57:27.2524234+02:00 0HM60ILPJHGD5:00000024 [INF] Return all comments (c23d2450)
2021-01-24T22:00:58.6094903+02:00 0HM60ILPJHGD4:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:00:58.6223594+02:00 0HM60ILPJHGD3:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:00:59.7903135+02:00 0HM60ILPJHGD5:0000002B [INF] Return all article (5a02f3f2)
2021-01-24T22:01:01.8785107+02:00 0HM60ILPJHGD5:0000002D [INF] Return all article (5a02f3f2)
2021-01-24T22:01:01.9416914+02:00 0HM60ILPJHGD7:00000002 [INF] Return article by Id (cb74880f)
2021-01-24T22:01:08.3779915+02:00 0HM60ILPJHGD7:00000004 [INF] Return all comments (c23d2450)
2021-01-24T22:02:10.0777250+02:00 0HM60ILPJHGD4:0000000C [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:10.1979691+02:00 0HM60ILPJHGD3:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:10.2156140+02:00 0HM60ILPJHGD7:00000007 [INF] Return all comments (c23d2450)
2021-01-24T22:02:10.2699080+02:00 0HM60ILPJHGD4:0000000D [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:15.4219557+02:00 0HM60ILPJHGD7:00000009 [INF] Return all article (5a02f3f2)
2021-01-24T22:02:17.4110491+02:00 0HM60ILPJHGD7:0000000A [INF] Return all article (5a02f3f2)
2021-01-24T22:02:44.8354884+02:00 0HM60ILPJHGD5:00000031 [INF] Article was created (28487168)
2021-01-24T22:02:44.9047329+02:00 0HM60ILPJHGD5:00000033 [INF] Return all article (5a02f3f2)
2021-01-24T22:02:45.6333073+02:00 0HM60ILPJHGD4:0000000E [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:45.7509831+02:00 0HM60ILPJHGD4:0000000F [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:45.7976882+02:00 0HM60ILPJHGD5:00000036 [INF] Return all comments (c23d2450)
2021-01-24T22:02:45.8119700+02:00 0HM60ILPJHGD3:0000000C [INF] RefreshToken in successfully. (05983c22)
2021-01-24T22:02:45.9622692+02:00 0HM60ILPJHGD5:00000037 [INF] Return all article (5a02f3f2)
2021-01-24T22:03:02.1998870+02:00 0HM60ILPJHGD5:00000039 [INF] Article was deleted (6f02f345)
2021-01-24T22:03:13.8083489+02:00 0HM60ILPJHGD4:00000010 [INF] Token revoked (82cf16b1)
2021-01-24T22:03:15.1892785+02:00 0HM60ILPJHGD4:00000011 [INF] User logged in successfully. (bbc7b650)
2021-01-24T22:03:18.2099283+02:00 0HM60ILPJHGD5:0000003D [INF] Return all article (5a02f3f2)
2021-01-24T22:03:23.8619213+02:00 0HM60ILPJHGD5:0000003F [INF] Article was deleted (6f02f345)
2021-01-24T22:03:37.7145639+02:00 0HM60ILPJHGD5:00000041 [INF] Return all comments (c23d2450)
2021-01-24T22:03:38.1253014+02:00 0HM60ILPJHGD5:00000043 [INF] Return all article (5a02f3f2)
2021-01-24T22:03:45.8212463+02:00 0HM60ILPJHGD7:0000000C [INF] Return all article (5a02f3f2)
2021-01-24T22:03:45.8331659+02:00 0HM60ILPJHGD6:00000004 [INF] Return article by Id (cb74880f)
2021-01-24T22:03:49.9849895+02:00 0HM60ILPJHGD6:00000005 [INF] Return all article (5a02f3f2)
2021-01-24T22:03:56.3793387+02:00 0HM60ILPJHGD5:00000047 [INF] Return all article (5a02f3f2)
2021-01-24T22:04:20.7308441+02:00 0HM60ILPJHGD5:00000049 [INF] Article was created (28487168)
2021-01-24T22:04:20.7931275+02:00 0HM60ILPJHGD5:0000004B [INF] Return all article (5a02f3f2)
2021-01-24T22:04:31.3340972+02:00 0HM60ILPJHGD5:0000004D [INF] Article was deleted (6f02f345)
2021-01-24T22:04:44.2829809+02:00 0HM60ILPJHGD5:0000004F [INF] Return all article (5a02f3f2)
2021-01-24T22:05:02.9651188+02:00 0HM60ILPJHGD5:00000051 [INF] Article was created (28487168)
2021-01-24T22:05:03.0259189+02:00 0HM60ILPJHGD5:00000053 [INF] Return all article (5a02f3f2)
2021-01-24T22:05:03.9722233+02:00 0HM60ILPJHGD4:00000012 [INF] RefreshToken in successfully. (05983c22)
