2021-01-17T15:45:45.0432073+02:00  [INF] Now listening on: "http://localhost:4000" (d826f4b8)
2021-01-17T15:45:45.0492467+02:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-01-17T15:45:45.0715408+02:00  [INF] Hosting environment: "Development" (c3307c92)
2021-01-17T15:45:45.0734986+02:00  [INF] Content root path: "C:\MyProjects\_github\onLib\onlinelib\Back\OnlineLib.WebService" (b5d60022)
2021-01-17T15:45:48.8200831+02:00 0HM5QTOONQ0FQ:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-01-17T15:46:22.7326637+02:00 0HM5QTOONQ0FP:00000004 [INF] Return all article (5a02f3f2)
2021-01-17T15:46:24.2053496+02:00 0HM5QTOONQ0FR:00000002 [INF] Return all article (5a02f3f2)
2021-01-17T15:47:17.4567257+02:00 0HM5QTOONQ0FP:00000008 [INF] Article was created (28487168)
2021-01-17T15:47:17.5455741+02:00 0HM5QTOONQ0FP:0000000A [INF] Return all article (5a02f3f2)
2021-01-17T15:47:18.2579229+02:00 0HM5QTOONQ0FQ:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-01-17T15:47:18.5042615+02:00 0HM5QTOONQ0FP:0000000C [INF] Return all article (5a02f3f2)
2021-01-17T15:47:30.8879006+02:00 0HM5QTOONQ0FR:00000004 [INF] Return all article (5a02f3f2)
2021-01-17T15:47:30.9302704+02:00 0HM5QTOONQ0FS:00000003 [INF] Return article by Id (cb74880f)
2021-01-17T15:47:47.1196301+02:00 0HM5QTOONQ0FS:00000007 [INF] Article was updated (59ac3d46)
2021-01-17T15:47:47.2781875+02:00 0HM5QTOONQ0FS:00000009 [INF] Return all article (5a02f3f2)
2021-01-17T15:47:47.7111304+02:00 0HM5QTOONQ0FQ:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-01-17T15:47:47.9370298+02:00 0HM5QTOONQ0FS:0000000B [INF] Return all article (5a02f3f2)
2021-01-17T15:47:58.1645525+02:00 0HM5QTOONQ0FR:00000006 [INF] Return all article (5a02f3f2)
